school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2018-2019,1513682,Special Ed PM Run,1386,M447,Heavy Traffic,"02986,02990",2019-01-30 13:30:00,2019-01-30 13:31:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-01-30 13:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1513808,Special Ed PM Run,1501,J535,Weather Conditions,75954,2019-01-30 15:59:00,2019-01-30 16:00:00,New Jersey,HOYT TRANSPORTATION CORP.,16-30 Min,2,Yes,Yes,No,2019-01-30 16:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1513935,Special Ed AM Run,36244,K420,Won`t Start,"22286,22703",2019-01-31 06:16:00,2019-01-31 06:17:00,Brooklyn,"BORO TRANSIT, INC.",61-90 Min,0,Yes,Yes,No,2019-01-31 06:17:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514063,Special Ed AM Run,5807D,X785,Weather Conditions,"11178,11181,11654",2019-01-31 06:28:00,2019-01-31 06:41:00,Bronx,LITTLE RICHIE BUS SERVICE,46-60 Min,0,Yes,Yes,No,2019-01-31 06:41:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514189,Special Ed AM Run,1316,M439,Other,03896,2019-01-31 06:55:00,2019-01-31 07:00:00,Manhattan,FIRST STEPS TRANS INC. (B2192),31-45 Min,0,Yes,Yes,Yes,2019-01-31 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514316,Special Ed AM Run,GT1421,Y880,Heavy Traffic,"10331,10442",2019-01-31 07:18:00,2019-01-31 07:20:00,Manhattan,"DON THOMAS BUSES, INC. (B2321)",46-60 Min,3,Yes,Yes,Yes,2019-01-31 07:20:00,,2019-01-31 07:20:35,Running Late,School-Age
2018-2019,1514443,General Ed AM Run,27711,K2189,Mechanical Problem,"21153,21746",2019-01-31 07:30:00,2019-01-31 07:46:00,Brooklyn,SNT BUS INC,,0,Yes,No,No,2019-01-31 07:46:00,,1900-01-01 00:00:00,Breakdown,School-Age
2018-2019,1514569,Special Ed PM Run,1308,M608,Heavy Traffic,02990,2019-01-31 13:33:00,2019-01-31 13:33:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-01-31 13:33:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514695,Special Ed PM Run,1630,M066,Other,02930,2019-01-31 14:52:00,2019-01-31 14:53:00,Manhattan,FIRST STEPS TRANS INC. (B2192),46-60 Min,0,Yes,Yes,Yes,2019-01-31 14:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514823,General Ed AM Run,27684,K2129,Mechanical Problem,"21153,21209,21239",2019-02-01 06:15:00,2019-02-01 06:29:00,Brooklyn,SNT BUS INC,0-15 Min,0,Yes,No,No,2019-02-01 06:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1514950,General Ed AM Run,24525,M1450,Won`t Start,05684,2019-02-01 06:50:00,2019-02-01 07:05:00,Manhattan,SNT BUS INC,46-60 Min,0,Yes,No,No,2019-02-01 07:05:00,,2019-02-01 07:33:23,Running Late,School-Age
2018-2019,1515077,Special Ed AM Run,3515,K695,Heavy Traffic,"21225,21253,21465",2019-02-01 07:34:00,2019-02-01 07:35:00,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,9,Yes,Yes,Yes,2019-02-01 07:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1515205,Special Ed PM Run,1370,N070,Heavy Traffic,"03862,03973",2019-02-01 13:29:00,2019-02-01 13:30:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-01 13:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1515330,Special Ed PM Run,5807D,X898,Flat Tire,"11416,11508,11542,11552",2019-02-01 14:30:00,2019-02-01 14:35:00,Bronx,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,No,2019-02-01 14:35:00,,1900-01-01 00:00:00,Breakdown,School-Age
2018-2019,1515457,Special Ed AM Run,88067,R817,Mechanical Problem,31905,2019-02-04 06:13:00,2019-02-04 06:23:00,Staten Island,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2019-02-04 06:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1515583,Special Ed AM Run,1393,M950,Heavy Traffic,"03015,03910",2019-02-04 06:46:00,2019-02-04 06:48:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-04 06:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1515710,General Ed AM Run,830,R1277,Heavy Traffic,"31024,31036",2019-02-04 07:11:00,2019-02-04 07:21:00,Staten Island,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,2019-02-04 07:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1515837,Pre-K/EI,335,6,Heavy Traffic,C814,2019-02-04 07:52:00,2019-02-04 07:53:00,Bronx,"G.V.C., LTD.",16-30 Min,0,Yes,Yes,No,2019-02-04 07:53:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1515968,Special Ed PM Run,1476,M989,Heavy Traffic,"03329,03455",2019-02-04 13:29:00,2019-02-04 13:30:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2019-02-04 13:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516096,Special Ed PM Run,1226,M475,Other,02169,2019-02-04 14:30:00,2019-02-04 14:58:00,Manhattan,HOYT TRANSPORTATION CORP.,16-30 Min,9,Yes,Yes,No,2019-02-04 14:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516224,Special Ed AM Run,4512,L546,Other,"19149,19290",2019-02-06 05:32:00,2019-02-06 05:32:00,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-02-06 05:32:00,,2019-04-26 11:49:11,Running Late,School-Age
2018-2019,1516350,Special Ed AM Run,1412,M726,Heavy Traffic,"02006,02158",2019-02-06 06:37:00,2019-02-06 06:37:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-06 06:37:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516477,Special Ed AM Run,1363,Q800,Other,"26464,26470",2019-02-06 07:10:00,2019-02-06 07:14:00,Queens,FIRST STEPS TRANS INC. (B2192),31-45 Min,0,Yes,Yes,Yes,2019-02-06 07:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516607,Pre-K/EI,337,1,Heavy Traffic,C561,2019-02-06 07:45:00,2019-02-06 08:06:00,Bronx,"G.V.C., LTD.",31-45 Min,10,Yes,Yes,Yes,2019-02-06 08:06:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1516733,Special Ed AM Run,1356,M900,Heavy Traffic,"03004,03005,03658",2019-02-06 14:04:00,2019-02-06 14:04:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-06 14:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516858,Special Ed AM Run,1413,M676,Heavy Traffic,02533,2019-02-07 06:16:00,2019-02-07 06:16:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-07 06:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1516984,Special Ed AM Run,GT1423,Y962,Heavy Traffic,"11160,11505",2019-02-07 06:52:00,2019-02-07 06:54:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",46-60 Min,0,Yes,Yes,Yes,2019-02-07 06:54:00,,2019-04-26 11:49:12,Running Late,School-Age
2018-2019,1517112,Pre-K/EI,2712,CK/GB5,Heavy Traffic,C868,2019-02-07 07:24:00,2019-02-07 07:25:00,Bronx,SELBY TRANSPORTATION,61-90 Min,2,Yes,Yes,No,2019-02-07 07:25:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1517240,Special Ed AM Run,1144,M267,Heavy Traffic,"04112,04206,04877",2019-02-07 07:57:00,2019-02-07 07:58:00,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,12,Yes,Yes,Yes,2019-02-07 07:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1517367,Special Ed PM Run,1432,M987,Heavy Traffic,02601,2019-02-07 13:25:00,2019-02-07 13:28:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2019-02-07 13:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1517492,Special Ed PM Run,12640,K114,Other,"13113,13133,13282,13414,13453,13537",2019-02-07 14:59:00,2019-02-07 15:02:00,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,No,No,2019-02-07 15:02:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1517618,Special Ed AM Run,5883D,X621,Mechanical Problem,"09413,09415",2019-02-08 06:20:00,2019-02-08 06:36:00,Bronx,LITTLE LISA BUS CO. INC.,,0,Yes,Yes,No,2019-02-08 06:36:00,,2019-02-08 08:18:40,Breakdown,School-Age
2018-2019,1517745,General Ed AM Run,2271,Q2957,Mechanical Problem,"29118,29360",2019-02-08 07:00:00,2019-02-08 07:05:00,Queens,ALLIED TRANSIT CORP.,,0,Yes,Yes,No,2019-02-08 07:05:00,,1900-01-01 00:00:00,Breakdown,School-Age
2018-2019,1517875,Pre-K/EI,951,1,Heavy Traffic,C586,2019-02-08 07:38:00,2019-02-08 07:39:00,Bronx,"G.V.C., LTD.",31-45 Min,2,Yes,Yes,No,2019-02-08 07:39:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1518004,General Ed AM Run,1122,Q2981,Mechanical Problem,"29052,29355,29356",2019-02-08 09:25:00,2019-02-08 09:45:00,Queens,PRIDE TRANSPORTATION (SCH AGE),,0,Yes,Yes,No,2019-02-08 09:45:00,,1900-01-01 00:00:00,Breakdown,School-Age
2018-2019,1518130,Special Ed AM Run,1438,M375,Other,"02483,02533,02590,02661",2019-02-08 14:15:00,2019-02-08 14:19:00,Manhattan,FIRST STEPS TRANS INC. (B2192),31-45 Min,0,Yes,Yes,Yes,2019-02-08 14:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1518256,Special Ed AM Run,1462,M720,Heavy Traffic,"02358,02821,02983",2019-02-11 06:16:00,2019-02-11 06:16:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-11 06:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1518384,General Ed AM Run,1724,Q8368,Heavy Traffic,"28349,29136,29156,29268",2019-02-11 06:40:00,2019-02-11 06:42:00,Queens,EMPIRE STATE BUS CORP.,31-45 Min,4,Yes,Yes,No,2019-02-11 06:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1518511,Special Ed AM Run,1004,M864,Heavy Traffic,02568,2019-02-11 06:50:00,2019-02-11 07:06:00,Manhattan,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,0,Yes,Yes,Yes,2019-02-11 07:06:00,,2019-02-11 07:10:48,Running Late,School-Age
2018-2019,1518638,Special Ed AM Run,12542,X144,Heavy Traffic,"10023,10475",2019-02-11 07:20:00,2019-02-11 07:28:00,Bronx,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2019-02-11 07:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1518766,Special Ed AM Run,GC0014,X770,Heavy Traffic,"09012,11433",2019-02-11 07:57:00,2019-02-11 07:59:00,Bronx,G.V.C. LTD. (B2192),31-45 Min,7,Yes,Yes,No,2019-02-11 07:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1518892,Special Ed AM Run,1107,M261,Heavy Traffic,"04206,04877",2019-02-11 13:45:00,2019-02-11 13:46:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,Yes,No,2019-02-11 13:46:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519017,Special Ed AM Run,4256,M310,Other,04657,2019-02-12 06:02:00,2019-02-12 06:03:00,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-02-12 06:03:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519143,Special Ed AM Run,1809,M505,Heavy Traffic,"02655,02667,02908",2019-02-12 06:57:00,2019-02-12 06:57:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-12 06:57:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519270,Pre-K/EI,951,1,Heavy Traffic,C586,2019-02-12 07:23:00,2019-02-12 07:24:00,Bronx,"G.V.C., LTD.",16-30 Min,2,Yes,Yes,No,2019-02-12 07:24:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1519399,Special Ed PM Run,1340,M613,Heavy Traffic,02986,2019-02-12 13:44:00,2019-02-12 13:44:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-12 13:44:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519525,Special Ed PM Run,1601,N047,Heavy Traffic,"03004,03005,03658",2019-02-13 05:59:00,2019-02-13 05:59:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-13 05:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519652,Special Ed AM Run,41104,K290,Heavy Traffic,"22203,22490",2019-02-13 06:35:00,2019-02-13 06:39:00,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,7,Yes,Yes,No,2019-02-13 06:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1519777,Special Ed AM Run,16408,X189,Heavy Traffic,"10279,10386,10447",2019-02-13 07:00:00,2019-02-13 07:08:00,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2019-02-13 07:08:00,,2019-02-13 07:08:32,Running Late,School-Age
2018-2019,1519907,Special Ed AM Run,16385,X204,Heavy Traffic,"10045,10533,10539,10750",2019-02-13 07:30:00,2019-02-13 07:39:00,Bronx,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2019-02-13 07:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520034,Special Ed AM Run,74617,X184,Heavy Traffic,"10024,10141,10454",2019-02-13 08:45:00,2019-02-13 08:46:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,Yes,2019-02-13 08:46:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520160,General Ed PM Run,25568,K9983,Heavy Traffic,"19005,19224",2019-02-13 14:09:00,2019-02-13 14:12:00,Brooklyn,"BORO TRANSIT, INC.",0-15 Min,0,Yes,No,No,2019-02-13 14:12:00,,2019-02-13 14:14:00,Running Late,School-Age
2018-2019,1520285,Special Ed AM Run,1236,M335,Heavy Traffic,"02011,02611",2019-02-14 06:10:00,2019-02-14 06:10:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-14 06:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520410,General Ed AM Run,2322,K1608,Mechanical Problem,"32106,32384,32588",2019-02-14 06:30:00,2019-02-14 06:42:00,Brooklyn,JOFAZ TRANSPORTATION INC.,46-60 Min,0,Yes,No,No,2019-02-14 06:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520539,Pre-K/EI,2618,CAS#2,Heavy Traffic,C955,2019-02-14 07:21:00,2019-02-14 07:22:00,Bronx,SELBY TRANSPORTATION,61-90 Min,2,Yes,Yes,No,2019-02-14 07:22:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1520668,Special Ed AM Run,1302,K902,Problem Run,"17316,17353,17460,17705",2019-02-14 07:45:00,2019-02-14 08:26:00,Brooklyn,Y & M TRANSIT CORP (B2192),46-60 Min,9,Yes,Yes,No,2019-02-14 08:26:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520792,Special Ed PM Run,1412,M726,Heavy Traffic,"02006,02158",2019-02-14 13:58:00,2019-02-14 13:59:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-14 13:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1520921,Special Ed AM Run,1315,M996,Heavy Traffic,"03002,03689,03931",2019-02-15 05:54:00,2019-02-15 05:55:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,3,Yes,Yes,No,2019-02-15 05:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1521048,Special Ed AM Run,GT1464,Y960,Heavy Traffic,"11068,11910",2019-02-15 06:48:00,2019-02-15 06:50:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",46-60 Min,1,Yes,Yes,Yes,2019-02-15 06:50:00,,2019-04-26 11:49:12,Running Late,School-Age
2018-2019,1521175,Pre-K/EI,2617,E.R.#3,Heavy Traffic,C197,2019-02-15 07:27:00,2019-02-15 07:28:00,Bronx,SELBY TRANSPORTATION,61-90 Min,3,Yes,Yes,No,2019-02-15 07:28:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1521304,Pre-K/EI,9304,5A,Heavy Traffic,E181,2019-02-15 12:31:00,2019-02-15 12:32:00,Bronx,"G.V.C., LTD.",31-45 Min,0,Yes,Yes,No,2019-02-15 12:32:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1521429,Special Ed PM Run,1603,M916,Heavy Traffic,"03076,03406,03448,03475",2019-02-15 14:11:00,2019-02-15 14:12:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-15 14:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1521560,General Ed PM Run,29101,M9258,Other,02837,2019-02-22 15:17:00,2019-02-22 15:18:00,Manhattan,SNT BUS INC,16-30 Min,0,Yes,Yes,No,2019-02-22 15:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1521687,Special Ed AM Run,1107,M261,Heavy Traffic,"04206,04877",2019-02-25 06:31:00,2019-02-25 06:32:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-25 06:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1521815,General Ed AM Run,2294,Q2905,Heavy Traffic,"29002,29192",2019-02-25 06:50:00,2019-02-25 06:54:00,Queens,EMPIRE STATE BUS CORP.,16-30 Min,4,Yes,Yes,No,2019-02-25 06:54:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1521942,Special Ed AM Run,4586,R310,Mechanical Problem,31060,2019-02-25 07:18:00,2019-02-25 07:20:00,Staten Island,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,4,Yes,Yes,Yes,2019-02-25 07:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522069,Special Ed AM Run,24651,X247,Heavy Traffic,"11160,11415",2019-02-25 07:43:00,2019-02-25 07:45:00,Bronx,VAN TRANS LLC (B2192),16-30 Min,14,Yes,Yes,Yes,2019-02-25 07:45:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522196,Pre-K/EI,342,9,Heavy Traffic,C601,2019-02-25 08:28:00,2019-02-25 08:30:00,Bronx,"G.V.C., LTD.",31-45 Min,10,Yes,Yes,No,2019-02-25 08:30:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1522322,Special Ed PM Run,1240,Q199,Heavy Traffic,"26208,26266,26464,26470,26918",2019-02-25 13:34:00,2019-02-25 13:45:00,Queens,HOYT TRANSPORTATION CORP.,0-15 Min,0,Yes,Yes,No,2019-02-25 13:45:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522449,Special Ed AM Run,2652,M618,Heavy Traffic,02986,2019-02-26 05:37:00,2019-02-26 05:38:00,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-02-26 05:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522575,Special Ed AM Run,1392,M818,Heavy Traffic,03417,2019-02-26 06:28:00,2019-02-26 06:29:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-26 06:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522703,Special Ed AM Run,65,K799,Heavy Traffic,"20915,21746,22566",2019-02-26 06:54:00,2019-02-26 07:00:00,Brooklyn,CAREFUL BUS,16-30 Min,6,Yes,Yes,No,2019-02-26 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522829,Special Ed AM Run,522,P282,Heavy Traffic,"28277,28522,28665,28695",2019-02-26 07:13:00,2019-02-26 07:36:00,Queens,L & M BUS CORP (A),16-30 Min,3,Yes,Yes,No,2019-02-26 07:36:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1522955,Special Ed AM Run,6223,P526,Heavy Traffic,"24071,24075,24088",2019-02-26 08:10:00,2019-02-26 08:23:00,Queens,JOFAZ TRANSPORTATION INC.,16-30 Min,8,Yes,No,No,2019-02-26 08:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523083,General Ed AM Run,71206,K9408,Delayed by School,"14132,14147,14196,14257,14558",2019-02-26 14:15:00,2019-02-26 14:29:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,3,Yes,No,No,2019-02-26 14:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523210,Special Ed AM Run,1235,M556,Heavy Traffic,01658,2019-02-27 06:16:00,2019-02-27 06:16:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-02-27 06:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523336,Special Ed AM Run,21101,K166,Heavy Traffic,"17375,17456,17466,17549,17601",2019-02-27 06:45:00,2019-02-27 06:47:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,5,Yes,Yes,No,2019-02-27 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523463,Pre-K/EI,79,3,Other,S188,2019-02-27 07:16:00,2019-02-27 07:18:00,Bronx,"G.V.C., LTD.",46-60 Min,0,Yes,Yes,No,2019-02-27 07:18:00,,2019-02-27 14:25:26,Running Late,Pre-K
2018-2019,1523589,Special Ed AM Run,10520,K178,Heavy Traffic,"14059,14297",2019-02-27 07:51:00,2019-02-27 08:01:00,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2019-02-27 08:01:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523715,Special Ed PM Run,1397,M886,Heavy Traffic,"03480,03825",2019-02-27 14:13:00,2019-02-27 14:14:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-02-27 14:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523842,Special Ed AM Run,1364,M754,Heavy Traffic,02016,2019-02-28 06:05:00,2019-02-28 06:06:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,Yes,No,2019-02-28 06:06:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1523969,General Ed AM Run,624,X2393,Heavy Traffic,"12007,12047",2019-02-28 06:39:00,2019-02-28 06:40:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,2019-02-28 06:40:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524096,Special Ed AM Run,117,L035,Won`t Start,"20102,20654,20859,21682",2019-02-28 07:12:00,2019-02-28 07:13:00,Brooklyn,B & F SKILLED INC.(B2192),31-45 Min,2,Yes,Yes,No,2019-02-28 07:13:00,,2019-02-28 18:27:20,Running Late,School-Age
2018-2019,1524224,Special Ed AM Run,31326,K439,Heavy Traffic,"17025,17460",2019-02-28 07:31:00,2019-02-28 07:41:00,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2019-02-28 07:41:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524353,Special Ed PM Run,1432,M987,Heavy Traffic,02601,2019-02-28 13:07:00,2019-02-28 13:09:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2019-02-28 13:09:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524479,Special Ed AM Run,2544,Q283,Heavy Traffic,"26179,26460",2019-02-28 14:11:00,2019-02-28 14:13:00,Queens,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-02-28 14:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524605,Special Ed AM Run,1114,M508,Heavy Traffic,"02655,02667,02908,02948",2019-03-01 06:08:00,2019-03-01 06:10:00,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-03-01 06:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524731,Special Ed AM Run,1462,M720,Heavy Traffic,"02358,02821,02983",2019-03-01 06:43:00,2019-03-01 06:44:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2019-03-01 06:44:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524857,Special Ed AM Run,9719,N012,Heavy Traffic,"04005,05194",2019-03-01 07:03:00,2019-03-01 07:04:00,Nassau County,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2019-03-01 07:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1524983,Special Ed AM Run,10495,X074,Heavy Traffic,08420,2019-03-01 07:30:00,2019-03-01 07:31:00,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",31-45 Min,3,Yes,Yes,No,2019-03-01 07:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1525112,Pre-K/EI,1274,GRAM11,Heavy Traffic,C454,2019-03-01 07:54:00,2019-03-01 07:57:00,Bronx,SELBY TRANSPORTATION,61-90 Min,1,Yes,Yes,No,2019-03-01 07:57:00,,1900-01-01 00:00:00,Running Late,Pre-K
2018-2019,1525240,Special Ed PM Run,1809,M505,Heavy Traffic,"02655,02667,02908",2019-03-01 13:30:00,2019-03-01 13:31:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2019-03-01 13:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2018-2019,1525365,Special Ed AM Run,8992,P507,Other,"25560,25764",2019-03-01 14:00:00,2019-03-01 14:52:00,Queens,LOGAN BUS COMPANY INC.,46-60 Min,0,No,No,No,2019-03-01 14:52:00,,2019-04-26 11:49:12,Running Late,School-Age
